#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sun Dec 10 11:27:33 2017

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       cat_pad_map.ncd
#OUTPUT FILE:      cat_pad_pad.csv
#PART TYPE:        xc3s1200e
#SPEED GRADE:      -4
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
B10,disp2<0>,IOB,IO_L12P_0/GCLK6,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
B11,leds<3>,IOB,IO/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
B12,,,VCCAUX,,,,,,,,2.5,,,,
B13,leds<12>,IOB,IO_L05N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
B14,,DIFFM,IO_L04P_0,UNUSED,,0,,,,,,,,,
B15,,DIFFMI,IP_L02P_0,UNUSED,,0,,,,,,,,,
B16,,DIFFM,IO_L01P_0,UNUSED,,0,,,,,,,,,
B17,,,GND,,,,,,,,,,,,
B18,,IBUF,IP,UNUSED,,1,,,,,,,,,
C1,flashByte,IOB,IO_L01P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C2,flashVpen,IOB,IO_L01N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C3,vga_red<1>,IOB,IO_L25P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C4,vga_green<1>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C5,vga_green<2>,IOB,IO_L23P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C6,,,VCCO_0,,,0,,,,,2.50,,,,
C7,disp1<6>,IOB,IO_L18P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C8,,DIFFMI,IP_L16P_0,UNUSED,,0,,,,,,,,,
C9,disp2<6>,IOB,IO_L14P_0/GCLK10,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C10,,,GND,,,,,,,,,,,,
C11,leds<4>,IOB,IO_L09P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C12,,DIFFMI,IP_L07P_0,UNUSED,,0,,,,,,,,,
C13,,,VCCO_0,,,0,,,,,2.50,,,,
C14,rdn,IOB,IO_L03N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C15,,IBUF,IP,UNUSED,,0,,,,,,,,,
C16,,,TDO,,,,,,,,,,,,
C17,ram1addr<0>,IOB,IO_L24N_1/LDC2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C18,ram1addr<1>,IOB,IO_L24P_1/LDC1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D1,flashRP,IOB,IO_L02P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D2,,DIFFS,IO_L02N_3/VREF_3,UNUSED,,3,,,,,,,,,
D3,,IBUF,IP,UNUSED,,3,,,,,,,,,
D4,flashWE,IOB,IO,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
D5,vga_blue<0>,IOB,IO_L23N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D6,vga_hs,IOB,IO_L21P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
D7,disp1<5>,IOB,IO_L18N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D8,,DIFFSI,IP_L16N_0,UNUSED,,0,,,,,,,,,
D9,disp2<5>,IOB,IO_L14N_0/GCLK11,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D10,leds<0>,IOB,IO_L11P_0/GCLK4,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D11,leds<5>,IOB,IO_L09N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D12,,DIFFSI,IP_L07N_0,UNUSED,,0,,,,,,,,,
D13,leds<13>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D14,tbre,IBUF,IO_L03P_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
D15,,,TMS,,,,,,,,,,,,
D16,ram1addr<2>,IOB,IO_L23N_1/LDC0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D17,ram1addr<3>,IOB,IO_L23P_1/HDC,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D18,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
E1,flashOE,IOB,IO_L03N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
E2,,DIFFM,IO_L03P_3,UNUSED,,3,,,,,,,,,
E3,,DIFFS,IO_L04N_3,UNUSED,,3,,,,,,,,,
E4,flashCE,IOB,IO_L04P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
E5,,,VCCINT,,,,,,,,1.2,,,,
E6,vga_vs,IOB,IO_L21N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
E7,disp1<4>,IOB,IO_L19N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E8,disp1<1>,IOB,IO_L17P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E9,disp2<4>,IOB,IO_L15P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E10,leds<1>,IOB,IO_L11N_0/GCLK5,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E11,leds<6>,IOB,IO_L08P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E12,leds<9>,IOB,IO_L06N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E13,leds<14>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E14,,,VCCINT,,,,,,,,1.2,,,,
E15,ram1addr<4>,IOB,IO_L22P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E16,ram1addr<5>,IOB,IO_L22N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E17,,IBUF,IP,UNUSED,,1,,,,,,,,,
E18,,IBUF,IP,UNUSED,,1,,,,,,,,,
F1,flash_data<15>,IOB,IO_L05P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
F2,flash_data<14>,IOB,IO_L05N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
F3,,,VCCO_3,,,3,,,,,2.50,,,,
F4,,IBUF,IP,UNUSED,,3,,,,,,,,,
F5,,IBUF,IP,UNUSED,,3,,,,,,,,,
F6,,,VCCINT,,,,,,,,1.2,,,,
F7,disp1<3>,IOB,IO_L19P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F8,disp1<0>,IOB,IO_L17N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F9,disp2<3>,IOB,IO_L15N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F10,,DIFFMI,IP_L10P_0,UNUSED,,0,,,,,,,,,
F11,leds<7>,IOB,IO_L08N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F12,leds<10>,IOB,IO_L06P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F13,,,VCCINT,,,,,,,,1.2,,,,
F14,ram1addr<6>,IOB,IO_L21N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F15,ram1addr<7>,IOB,IO_L21P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F16,,,VCCO_1,,,1,,,,,2.50,,,,
F17,ram1addr<8>,IOB,IO_L19N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F18,ram1addr<9>,IOB,IO_L19P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G1,,IBUF,IP,UNUSED,,3,,,,,,,,,
G2,,,VCCAUX,,,,,,,,2.5,,,,
G3,flash_data<13>,IOB,IO_L06P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
G4,flash_data<12>,IOB,IO_L06N_3/VREF_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
G5,flash_data<11>,IOB,IO_L07N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
G6,flash_data<10>,IOB,IO_L07P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
G7,,,GND,,,,,,,,,,,,
G8,,,VCCO_0,,,0,,,,,2.50,,,,
G9,disp2<2>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G10,,DIFFSI,IP_L10N_0,UNUSED,,0,,,,,,,,,
G11,,,VCCO_0,,,0,,,,,2.50,,,,
G12,,,GND,,,,,,,,,,,,
G13,ram1addr<10>,IOB,IO_L20N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G14,ram1addr<11>,IOB,IO_L20P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G15,ram1addr<12>,IOB,IO_L18P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G16,ram1addr<13>,IOB,IO_L18N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G17,,,VCCAUX,,,,,,,,2.5,,,,
G18,,IBUF,IP,UNUSED,,1,,,,,,,,,
H1,flash_data<9>,IOB,IO_L10N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
H2,flash_data<8>,IOB,IO_L10P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
H3,flash_data<7>,IOB,IO_L09N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
H4,flash_data<6>,IOB,IO_L09P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
H5,flash_data<5>,IOB,IO_L08N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
H6,flash_data<4>,IOB,IO_L08P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
H7,,,VCCO_3,,,3,,,,,2.50,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,GND,,,,,,,,,,,,
H12,,,VCCO_1,,,1,,,,,2.50,,,,
H13,,IBUF,IP,UNUSED,,1,,,,,,,,,
H14,ram1addr<14>,IOB,IO_L17P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H15,ram1addr<15>,IOB,IO_L17N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H16,ram1addr<16>,IOB,IO_L16P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H17,ram1addr<17>,IOB,IO_L16N_1/A0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H18,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
J1,flash_data<3>,IOB,IO_L12P_3/LHCLK2,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
J2,flash_data<2>,IOB,IO_L12N_3/LHCLK3/IRDY2,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
J3,,,GND,,,,,,,,,,,,
J4,flash_data<1>,IOB,IO_L11N_3/LHCLK1,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
J5,flash_data<0>,IOB,IO_L11P_3/LHCLK0,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
J6,input<15>,IBUF,IP/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
J7,input<14>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
J8,,,GND,,,,,,,,,,,,
J11,,,GND,,,,,,,,,,,,
J12,ram1data<0>,IOB,IO_L15P_1/A2,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
J13,ram1data<1>,IOB,IO_L15N_1/A1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
J14,ram1data<2>,IOB,IO_L14N_1/A3/RHCLK7,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
J15,ram1data<3>,IOB,IO_L14P_1/A4/RHCLK6,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
J16,ram1data<4>,IOB,IO_L13N_1/A5/RHCLK5,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
J17,ram1data<5>,IOB,IO_L13P_1/A6/RHCLK4/IRDY1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
J18,,,VCCO_1,,,1,,,,,2.50,,,,
K1,,,VCCO_3,,,3,,,,,2.50,,,,
K2,input<13>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
K3,,DIFFM,IO_L13P_3/LHCLK4/TRDY2,UNUSED,,3,,,,,,,,,
K4,flash_addr<22>,IOB,IO_L13N_3/LHCLK5,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K5,flash_addr<21>,IOB,IO_L14N_3/LHCLK7,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K6,flash_addr<20>,IOB,IO_L14P_3/LHCLK6,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K7,input<12>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
K8,,,GND,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,
K12,ram1data<6>,IOB,IO_L11N_1/A9/RHCLK1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
K13,ram1data<7>,IOB,IO_L11P_1/A10/RHCLK0,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
K14,ram1data<8>,IOB,IO_L12N_1/A7/RHCLK3/TRDY1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
K15,ram1data<9>,IOB,IO_L12P_1/A8/RHCLK2,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
K16,,,GND,,,,,,,,,,,,
K17,,IBUF,IP,UNUSED,,1,,,,,,,,,
K18,,IBUF,IP,UNUSED,,1,,,,,,,,,
L1,flash_addr<19>,IOB,IO_L15P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L2,flash_addr<18>,IOB,IO_L15N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L3,flash_addr<17>,IOB,IO_L16P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L4,flash_addr<16>,IOB,IO_L16N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L5,flash_addr<15>,IOB,IO_L17N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L6,flash_addr<14>,IOB,IO_L17P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L7,,,VCCO_3,,,3,,,,,2.50,,,,
L8,,,GND,,,,,,,,,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,GND,,,,,,,,,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCO_1,,,1,,,,,2.50,,,,
L13,,IBUF,IP,UNUSED,,1,,,,,,,,,
L14,,IBUF,IP,UNUSED,,1,,,,,,,,,
L15,ram1data<10>,IOB,IO_L09N_1/A11,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
L16,ram1data<11>,IOB,IO_L09P_1/A12,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
L17,ram1data<12>,IOB,IO_L10N_1/VREF_1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
L18,ram1data<13>,IOB,IO_L10P_1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
M1,input<11>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
M2,,,VCCAUX,,,,,,,,2.5,,,,
M3,flash_addr<13>,IOB,IO_L18N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
M4,flash_addr<12>,IOB,IO_L18P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
M5,flash_addr<11>,IOB,IO_L19P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
M6,flash_addr<10>,IOB,IO_L19N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
M7,,,GND,,,,,,,,,,,,
M8,,,VCCO_2,,,2,,,,,2.50,,,,
M9,ram2rw,IOB,IO_L12N_2/D6/GCLK13,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M10,,DIFFM,IO_L16P_2/M0,UNUSED,,2,,,,,,,,,
M11,,,VCCO_2,,,2,,,,,2.50,,,,
M12,,,GND,,,,,,,,,,,,
M13,ram1data<14>,IOB,IO_L05N_1/VREF_1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
M14,ram1data<15>,IOB,IO_L05P_1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
M15,ram1en,IOB,IO_L07P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M16,ram1oe,IOB,IO_L07N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M17,,,VCCAUX,,,,,,,,2.5,,,,
M18,ram1rw,IOB,IO_L08N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N1,input<10>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
N2,input<9>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
N3,,,VCCO_3,,,3,,,,,2.50,,,,
N4,flash_addr<9>,IOB,IO_L20P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
N5,flash_addr<8>,IOB,IO_L20N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
N6,,,VCCINT,,,,,,,,1.2,,,,
N7,,DIFFM,IO_L07P_2,UNUSED,,2,,,,,,,,,
N8,,DIFFS,IO_L09N_2,UNUSED,,2,,,,,,,,,
N9,tsre,IBUF,IO_L12P_2/D7/GCLK12,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
N10,ram2en,IOB,IO_L16N_2/DIN/D0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N11,ram2data<15>,IOB,IO_L18N_2,TRISTATE,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N12,ram2data<14>,IOB,IO_L21P_2,TRISTATE,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,ram2addr<0>,IOB,IO_L04N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
N15,ram2addr<1>,IOB,IO_L04P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
N16,,,VCCO_1,,,1,,,,,2.50,,,,
N17,,IBUF,IP,UNUSED,,1,,,,,,,,,
N18,ram2addr<2>,IOB,IO_L08P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P1,flash_addr<7>,IOB,IO_L21N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P2,flash_addr<6>,IOB,IO_L21P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P3,flash_addr<5>,IOB,IO_L22P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P4,flash_addr<4>,IOB,IO_L22N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P5,,,VCCINT,,,,,,,,1.2,,,,
P6,,DIFFS,IO_L05N_2,UNUSED,,2,,,,,,,,,
P7,,DIFFS,IO_L07N_2,UNUSED,,2,,,,,,,,,
P8,,DIFFM,IO_L09P_2,UNUSED,,2,,,,,,,,,
P9,,IOB,IO,UNUSED,,2,,,,,,,,,
P10,ram2data<13>,IOB,IO_L15N_2/D1/GCLK3,TRISTATE,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P11,ram2data<12>,IOB,IO_L18P_2,TRISTATE,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P12,ram2data<11>,IOB,IO_L21N_2,TRISTATE,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P13,ram2data<10>,IOB,IO_L22P_2/A23,TRISTATE,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P14,,,VCCINT,,,,,,,,1.2,,,,
P15,,IBUF,IP,UNUSED,,1,,,,,,,,,
P16,ram2addr<3>,IOB,IO,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P17,ram2addr<4>,IOB,IO_L06P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
